127.0.0.1 - - [08/Jul/2017:19:56:49 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:58:50 +0530] "GET /project1/homePage HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/index.html HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:05 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:30 +0530] "GET /frontend_project2/views/home.html HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jul/2017:19:59:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jul/2017:20:00:31 +0530] "GET /frontend_project2/views/login.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [08/Jul/2017:20:00:43 +0530] "POST /backend_project2/login HTTP/1.1" 200 155
