127.0.0.1 - - [29/Jul/2017:11:04:18 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:16 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:18 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:19 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:19 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:19 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:19 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:19 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/controller/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/service/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:20 +0530] "GET /frontend_project2/images/green-stars.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:26 +0530] "GET /frontend_project2/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:26 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:27 +0530] "GET /frontend_project2/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:27 +0530] "GET /frontend_project2/images/header_images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:27 +0530] "GET /frontend_project2/images/njob.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:27 +0530] "GET /frontend_project2/images/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:27 +0530] "GET /frontend_project2/images/friend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:27 +0530] "GET /frontend_project2/images/Blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:38 +0530] "GET /frontend_project2/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:38 +0530] "GET /frontend_project2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:38 +0530] "GET /frontend_project2/images/av6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:39 +0530] "GET /frontend_project2/images/oddo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:13:42 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:09 +0530] "POST /backend_project2/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:09 +0530] "POST /backend_project2/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:12 +0530] "GET /backend_project2/getimage/Krishna HTTP/1.1" 200 32796
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:19 +0530] "GET /frontend_project2/views/jobform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:20 +0530] "GET /frontend_project2/css/registrationform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:20 +0530] "GET /frontend_project2/images/green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:21 +0530] "GET /backend_project2/getalljobs HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:32 +0530] "GET /frontend_project2/views/jobtitles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:33 +0530] "GET /frontend_project2/css/tablecolor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:33 +0530] "GET /backend_project2/getalljobs HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:35 +0530] "GET /backend_project2/getjobbyid/204 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:39 +0530] "GET /backend_project2/getjobbyid/61 HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:41 +0530] "GET /backend_project2/getjobbyid/62 HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:45 +0530] "GET /frontend_project2/views/blogslist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:46 +0530] "GET /backend_project2/listofblogs/0 HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:46 +0530] "GET /backend_project2/listofblogs/1 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:49 +0530] "GET /frontend_project2/views/blogdetail.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:50 +0530] "GET /backend_project2/getblogpost/183 HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:56 +0530] "GET /frontend_project2/views/blogpostform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:56 +0530] "GET /backend_project2/listofblogs/1 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:14:56 +0530] "GET /backend_project2/listofblogs/0 HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:15:03 +0530] "GET /frontend_project2/views/suggestedusers.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:15:03 +0530] "GET /backend_project2/getimage/%7B%7Buser.firstname%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:15:03 +0530] "GET /backend_project2/listoffriends HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:15:03 +0530] "GET /backend_project2/pendingrequests HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:15:04 +0530] "GET /backend_project2/suggesteduserslist HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [29/Jul/2017:11:15:04 +0530] "GET /backend_project2/getimage/%7B%7Buser.firstname%7D%7D HTTP/1.1" 200 -
